Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                    TAUMXY
Superelement       Element    Element average value
R200                  24887      1.93158
R200                  24888     -0.87917
R200                  24889    -0.520235
R200                  24890    -0.313052
R200                  24891      4.96119
R200                  24892      6.27121
R200                  24893      8.24555
R200                  24894      1.76628
R200                  24895      1.94345
R200                  24896      1.89527
R200                  24897     -1.20191
R200                  24898    -0.926947
R200                  24899    -0.972052
R200                  24900     -1.59806
R200                  24901     -1.56938
R200                  24902      -1.4556
R200                  24903      4.47215
R200                  24904      5.72213
R200                  24905      8.20542
R200                  24906      1.75532
R200                  24907       1.9921
R200                  24908      2.00587
R200                  24909     -1.71578
R200                  24910     -2.39808
R200                  24911      -2.7083
R200                  24912     -1.59971
R200                  24913     -1.88288
R200                  24914     -1.97938
R200                  24915      3.68511
R200                  24916      3.65332
R200                  24917      6.21091
R200                  24918     -3.92654
R200                  24919     -5.60687
R200                  24920     -5.45825
R200                  24921     -1.84372
R200                  24922     -2.53303
R200                  24923     -3.00483
R200                  24924      2.17147
R200                  24925     0.364239
R200                  24926     0.952813
R200                  24927      1.76477
R200                  24928      2.08007
R200                  24929      2.25585
R200                  24930     -19.5194
R200                  24931      -21.376
R200                  24932     -21.7456
R200                  24933     -21.5387
R200                  24934     -21.1256
R200                  24935     -24.1331
R200                  24936      -24.671
R200                  24937     -25.6551
R200                  24938     -26.5437
R200                  24939     -22.6911
R200                  24940       3.9685
R200                  24941      5.58435
R200                  24942       5.3425
R200                  24943     -0.37893
R200                  24944      -0.0186
R200                  24945     -0.11999
R200                  24946      7.63164
R200                  24947      9.88345
R200                  24948      10.2043
R200                  24949      1.75248
R200                  24950      2.08816
R200                  24951      2.35111
R200                  24952      1.85057
R200                  24953      2.47573
R200                  24954       2.6428
R200                  24955    -0.603342
R200                  24956    -0.535046
R200                  24957     -1.13172
R200                  24958      5.87787
R200                  24959      6.36466
R200                  24960      5.12188
R200                  24961    -0.694348
R200                  24962    -0.835779
R200                  24963     -1.52486
R200                  24964      1.77456
R200                  24965      1.95371
R200                  24966      1.97743
R200                  24967      1.42689
R200                  24968      1.10842
R200                  24969     0.890051
R200                  24970      5.06472
R200                  24971      4.29267
R200                  24972      2.57418
R200                  24973    -0.623179
R200                  24974     -0.69076
R200                  24975     -1.16528
R200                  24976      1.89386
R200                  24977      1.33224
R200                  24978     0.860524
R200                  24979      1.14663
R200                  24980     0.642544
R200                  24981     0.279273
R200                  24982    -0.818077
R200                  24983    -0.916197
R200                  24984    -0.782591
R200                  24985       3.9967
R200                  24986      2.91514
R200                  24987       1.2157
R200                  24988      1.15584
R200                  24989    -0.279902
R200                  24990    -0.667473
R200                  24991      1.04573
R200                  24992      0.41639
R200                  24993     0.110807
R200                  24994     -1.06512
R200                  24995     -1.19465
R200                  24996    -0.338219
R200                  24997       2.4745
R200                  24998      1.23568
R200                  24999   -0.0727884
R200                  25000      4.77985
R200                  25001      5.44557
R200                  25002      8.18044
R200                  25003      6.81432
R200                  25004      6.56989
R200                  25005      7.07539
R200                  25006      7.76452
R200                  25007      8.14302
R200                  25008      7.51111
R200                  25009      7.74879
R200                  25010      7.81533
R200                  25011      7.47653
R200                  25012     -7.65648
R200                  25013     -8.26379
R200                  25014     -8.58693
R200                  25015     -7.57114
R200                  25016     -8.21352
R200                  25017     -8.69826
R200                  25018     -7.60503
R200                  25019     -8.22704
R200                  25020     -8.73098
R200                  25021     -7.70845
R200                  25022     -8.36229
R200                  25023     -8.61149
R200                  25024     -7.76516
R200                  25025     -8.44539
R200                  25026     -8.81303
R200                  25027     -7.82476
R200                  25028     -8.54531
R200                  25029     -9.29041
R200                  25030     -7.76509
R200                  25031     -8.43387
R200                  25032      -9.2174
R200                  25033     -7.79295
R200                  25034     -8.13103
R200                  25035     -8.33254
R200                  25036     -8.23329
R200                  25037       -7.497
R200                  25038      -6.3602
R200                  25039     -8.42328
R200                  25040     -5.71259
R200                  25041     -3.77721
R200                  25987        -5.69
R200                  25989     -14.9525
R200                  25990     -15.3401
R200                  25991     -15.2663
R200                  25992     -15.8059
R200                  25993     -20.9183
R200                  25994      -21.894
R200                  25995     -20.8548
R200                  25996     -19.5169
R200                  25997     -24.0872
R200                  25998     -24.5423
R200                  25999     -25.0484
R200                  26000     -27.5431
R200                  26001     -28.1944
R200                  26138      1.24076
R200                  26139    -0.456184
R200                  26140     -3.11708
R200                  26141    -0.428717
R200                  26142    -0.847206
R200                  26143    -0.962246
R200                  26144     -1.38576
R200                  26145    -0.946488
R200                  26146    -0.749384
R200                  26147    -0.180939
R200                  26148    -0.316032
R200                  26149    -0.892782
R200                  26150    -0.495579
R200                  26151     0.248416
R200                  26152    -0.746217
R200                  26153    -0.305888
R200                  26154     0.292276
R200                  26155    -0.455863
R200                  26156    -0.115931
R200                  26157     0.369453
R200                  26158    -0.175874
R200                  26159    0.0870872
R200                  26160     0.419769
R200                  26161    0.0927959
R200                  26162      0.23657
R200                  26163     0.490461
R200                  26164     0.216855
R200                  26165     0.366947
R200                  26166     0.449741
R200                  26167     0.441982
R200                  26168     0.497051
R200                  26169     0.546457
R200                  26170     0.654167
R200                  26171     0.619577
R200                  26172     0.655469
R200                  26173     0.731547
R200                  26174     0.736131
R200                  26175     0.643982
R200                  26176     0.931311
R200                  26177     0.859911
R200                  26178      0.76553
R200                  26179       1.1345
R200                  26180     0.986149
R200                  26181     0.891232
R200                  26182      1.21886
R200                  26183      1.12132
R200                  26184     0.885193
R200                  26185      1.41817
R200                  26186       1.2833
R200                  26187      1.02072
R200                  26188      1.56879
R200                  26189      1.45419
R200                  26190      1.22107
R200                  26191      1.54131
R200                  26192      1.69577
R200                  26193      1.31809
R200                  26194      2.15038
R200                  26195      2.31963
R200                  26196       1.0883
R200                  26197      1.37847
R200                  26198      -6.8922
R200                  26199      6.61855
R200                  26200      2.67416
R200                  26201    -0.671924
R200                  26202     -3.06808
R200                  26203     0.277039
R200                  26204     -2.31827
R200                  26205     -2.18853
R200                  26206     -2.93382
R200                  26207     -2.54148
R200                  26208      -2.2461
R200                  26209     -1.84217
R200                  26210     -2.54532
R200                  26211     -2.53342
R200                  26212     -2.82369
R200                  26213      -3.1519
R200                  26214     -2.10992
R200                  26215     -1.80187
R200                  26216     -1.80488
R200                  26217    -0.578627
R200                  26218    -0.846103
R200                  26219   -0.0445215
R200                  26529     -27.1098
R200                  26530     -25.0914
R200                  26531     -22.2944
R200                  26533     -8.00628
R200                  26534    -0.154994
R200                  26535     0.939637
R200                  26536     0.809009
R200                  26537     -2.26245
R200                  26538     0.462617
R200                  26540     -12.3198
R200                  26541     -12.6743
R200                  26542     -12.1534
R200                  26543     -25.1172
R200                  26544     -23.9165
R200                  26545     -23.0131
R200                  26546      -21.101
R200                  26547       -19.84
R200                  26548     -24.7895
R200                  26549     -23.7879
R200                  26550     -22.3612
R200                  26551      -16.957
R200                  26552     -8.21652
R200                  26704     -16.0676
R200                  26705     -12.4824
R200                  26706     -11.2665
R200                  26707     -10.5991
R200                  26708     -10.0399
R200                  26709     -15.8235
R200                  26710     -13.9456
R200                  26711     -12.7048
R200                  26712     -11.9866
R200                  26713     -11.0028
R200                  26714     -13.8444
R200                  26715     -14.4514
R200                  26716     -13.7435
R200                  26717     -13.3577
R200                  26718     -12.9381
R200                  26719     -11.1814
R200                  26720      -12.982
R200                  26721       -15.03
R200                  26722     -15.7891
R200                  26723     -16.9818
R200                  26790     -19.6382
R200                  26791      -22.499
R200                  26792     -22.2493
R200                  26793     -19.3427
R200                  26794     -17.2172
R200                  26795     -24.0749
R200                  26796     -23.9627
R200                  26797     -23.1695
R200                  26798     -20.2319
R200                  26799     -17.2946
R200                  26968      16.4756
R200                  26969      16.9988
R200                  26970      16.9879
R200                  26971      17.8869
R200                  26972      17.7509
R200                  26973      20.5365
R200                  26974      20.7711
R200                  26975      21.2356
R200                  26976      21.8129
R200                  26977      22.2761
R200                  26978      23.4949
R200                  26979      23.7864
R200                  26980      24.4895
R200                  26981       25.056
R200                  26982      24.6472
R200                  26983     -31.5219
R200                  26984      -31.763
R200                  26985     -31.6185
R200                  26986      -31.196
R200                  26987     -32.8687
R200                  26988     -33.2148
R200                  26989     -32.9513
R200                  26990     -32.4008
R200                  26991     -34.0958
R200                  26992     -34.5581
R200                  26993     -33.9512
R200                  26994     -32.7662
R200                  26995     -34.8108
R200                  26996     -35.9178
R200                  26997     -34.7681
R200                  26998     -31.7873
R200                  26999     -37.1097
R200                  27000      -36.473
R200                  27001     -34.5709
R200                  27002     -30.5268
R200                  27003      16.8911
R200                  27004      18.8884
R200                  27005      19.6113
R200                  27006      20.5712
R200                  27007      4.31241
R200                  27008      6.17798
R200                  27009      7.17185
R200                  27010      8.24821
R200                  27011      13.0148
R200                  27012      14.7105
R200                  27013      15.9149
R200                  27014       16.811
R200                  27015      4.00838
R200                  27016      4.75817
R200                  27017      5.62752
R200                  27018      6.84228
R200                  27019       10.013
R200                  27020      11.1808
R200                  27021      12.4357
R200                  27022      13.2396
R200                  27023      3.44869
R200                  27024      3.81998
R200                  27025      4.43611
R200                  27026      4.89251
R200                  27027      7.76532
R200                  27028      8.45645
R200                  27029      9.39916
R200                  27030      10.2969
R200                  27031      2.83062
R200                  27032      3.08511
R200                  27033      3.38593
R200                  27034      3.37622
R200                  27035      6.56423
R200                  27036      7.04658
R200                  27037      7.53223
R200                  27038      7.72759
R200                  27039      2.08481
R200                  27040      2.11499
R200                  27041      2.34206
R200                  27042      2.70545
R200                  27043      17.3739
R200                  27044       3.6897
R200                  27045      2.80459
R200                  27046     -2.80604
R200                  27047      3.78021
R200                  27048     -2.31792
R200                  27049     -4.13617
R200                  27050     -4.05988
R200                  27051    -0.546547
R200                  27052     -1.79131
R200                  27053     -2.84995
R200                  27054     -3.07228
R200                  27055      5.58419
R200                  27056      5.76777
R200                  27057      6.04341
R200                  27058       6.2624
R200                  27059      1.61237
R200                  27060      1.64177
R200                  27061      1.75263
R200                  27062      1.90408
R200                  27063      13.1902
R200                  27064      4.29948
R200                  27065     -1.09208
R200                  27066     -5.27706
R200                  27067      1.19673
R200                  27068      1.21941
R200                  27069      1.26414
R200                  27070      1.29622
R200                  27071     -1.89201
R200                  27072     -2.23201
R200                  27073      -2.5466
R200                  27074     -2.64441
R200                  27075      8.15771
R200                  27076      3.25815
R200                  27077     -1.73811
R200                  27078     -5.66994
R200                  27079      4.89672
R200                  27080      4.90907
R200                  27081      5.03531
R200                  27082      5.21513
R200                  27083      4.35486
R200                  27084      4.20317
R200                  27085      4.25259
R200                  27086      4.58461
R200                  27087     0.851172
R200                  27088     0.929239
R200                  27089     0.923681
R200                  27090     0.715477
R200                  27091     -2.34547
R200                  27092      -2.4309
R200                  27093     -2.48287
R200                  27094     -2.42684
R200                  27095      4.94503
R200                  27096      1.91793
R200                  27097     -1.52129
R200                  27098     -4.69631
R200                  27099      4.20112
R200                  27100      4.13924
R200                  27101      3.98754
R200                  27102      3.65013
R200                  27103       0.3066
R200                  27104     0.251424
R200                  27105     0.347238
R200                  27106     0.668438
R200                  27107      2.74592
R200                  27108      1.18994
R200                  27109    -0.933102
R200                  27110     -3.09978
R200                  27111     -2.42656
R200                  27112      -2.4209
R200                  27113     -2.37538
R200                  27114     -2.28413
R200                  27115      3.83553
R200                  27116      3.66625
R200                  27117       3.5314
R200                  27118      3.42725
R200                  27119    0.0468611
R200                  27120    0.0687745
R200                  27121     0.107213
R200                  27122     0.165297
R200                  27123     -2.38635
R200                  27124     -2.35377
R200                  27125     -2.26572
R200                  27126     -2.13074
R200                  27127      1.58609
R200                  27128      0.81335
R200                  27129    -0.275384
R200                  27130      -1.4288
R200                  27131      3.52411
R200                  27132      3.26397
R200                  27133      3.16774
R200                  27134      3.35481
R200                  27135    -0.185448
R200                  27136   -0.0869326
R200                  27137    -0.106694
R200                  27138     -0.35045
R200                  27139     0.883566
R200                  27140     0.777219
R200                  27141     0.592961
R200                  27142     0.415942
R200                  27143       -2.205
R200                  27144     -2.29758
R200                  27145     -2.24511
R200                  27146     -2.13484
R200                  27147     -1.97755
R200                  27148      -1.8307
R200                  27149     -2.00359
R200                  27150      -2.1318
R200                  27151      3.55397
R200                  27152      3.45229
R200                  27153      3.23026
R200                  27154      2.79746
R200                  27155    -0.656176
R200                  27156     -0.70572
R200                  27157     -0.63425
R200                  27158    -0.345983
R200                  27159     0.426988
R200                  27160     0.923644
R200                  27161      1.57368
R200                  27162      2.36364
R200                  27163      3.34455
R200                  27164      3.17088
R200                  27165      3.02222
R200                  27166      2.88069
R200                  27167    -0.859175
R200                  27168    -0.844293
R200                  27169    -0.854342
R200                  27170    -0.860094
R200                  27171     -2.13818
R200                  27172     -2.03084
R200                  27173     -1.88032
R200                  27174     -1.69122
R200                  27175    0.0011572
R200                  27176      1.19214
R200                  27177      2.64539
R200                  27178      4.31777
R200                  27179      -2.0941
R200                  27180     -1.97006
R200                  27181     -1.80233
R200                  27182     -1.58806
R200                  27183        3.191
R200                  27184      2.93762
R200                  27185      2.86916
R200                  27186      3.07125
R200                  27187     -1.04761
R200                  27188    -0.978065
R200                  27189     -1.08257
R200                  27190     -1.42526
R200                  27191    -0.440379
R200                  27192      1.33485
R200                  27193      3.58147
R200                  27194      6.15123
R200                  27195      3.41538
R200                  27196       3.3098
R200                  27197       3.1499
R200                  27198      2.74544
R200                  27199     -1.48317
R200                  27200     -1.58551
R200                  27201      -1.6481
R200                  27202     -1.51773
R200                  27203     -1.05331
R200                  27204      1.27327
R200                  27205      4.30946
R200                  27206      7.87347
R200                  27207     -2.09763
R200                  27208       -1.953
R200                  27209     -1.77318
R200                  27210       -1.534
R200                  27211      3.46442
R200                  27212      3.32501
R200                  27213      3.26528
R200                  27214      2.99108
R200                  27215     -1.68489
R200                  27216     -1.74089
R200                  27217     -1.92601
R200                  27218     -2.15117
R200                  27219     -2.16388
R200                  27220     -1.99661
R200                  27221     -1.81924
R200                  27222     -1.55527
R200                  27223      -1.9713
R200                  27224     0.885607
R200                  27225      4.64222
R200                  27226      9.42285
R200                  27227     -2.25502
R200                  27228     -2.13078
R200                  27229     -2.01722
R200                  27230     -1.73086
R200                  27231      2.66276
R200                  27232      2.42607
R200                  27233      2.87834
R200                  27234      2.98044
R200                  27235     -1.98826
R200                  27236     -1.98704
R200                  27237     -2.24301
R200                  27238     -2.80796
R200                  27239      -3.2607
R200                  27240     0.467162
R200                  27241      4.77601
R200                  27242      10.5685
R200                  27243       2.6263
R200                  27244      2.32944
R200                  27245      2.69345
R200                  27246      2.26233
R200                  27247     -2.86614
R200                  27248     -2.87924
R200                  27249     -2.92381
R200                  27250     -2.90357
R200                  27251     -2.42889
R200                  27252      -2.3316
R200                  27253      -2.3495
R200                  27254     -2.09723
R200                  27255     -4.73154
R200                  27256    -0.709183
R200                  27257      3.55607
R200                  27258      10.7486
R200                  27259       2.1624
R200                  27260      1.84245
R200                  27261      2.24053
R200                  27262      2.17765
R200                  27263     -4.25869
R200                  27264      -3.8758
R200                  27265     -3.53314
R200                  27266     -3.13809
R200                  27267     -2.60599
R200                  27268      -2.6621
R200                  27269     -2.94366
R200                  27270     -2.85963
R200                  27271     -5.37882
R200                  27272     -1.70158
R200                  27273     0.432771
R200                  27274      7.89608
R200                  27275       -6.552
R200                  27276     -5.77314
R200                  27277     -4.14758
R200                  27278     -2.08359
R200                  27279     -2.42915
R200                  27280     -3.03474
R200                  27281     -3.78338
R200                  27282     -4.06895
R200                  27283     -3.60879
R200                  27284     -2.39398
R200                  27285     -2.87765
R200                  27286   -0.0619447
R200                  27287       1.4517
R200                  27288      1.32571
R200                  27289      1.76437
R200                  27290       2.1684
R200                  27291      6.12903
R200                  27292      5.23597
R200                  27293      3.14605
R200                  27294    0.0782502
R200                  27295      2.00762
R200                  27296      1.67544
R200                  27297      1.14586
R200                  27298    -0.300028
R200                  27299      6.14499
R200                  27300       7.1484
R200                  27301      10.2294
R200                  27302      10.7587
R200                  27303     0.847313
R200                  27304      1.09945
R200                  27305      1.45306
R200                  27306      1.59607
R200                  27307      3.67612
R200                  27308      2.91591
R200                  27309      2.20989
R200                  27310      1.44983
R200                  27311      1.86728
R200                  27312      1.09097
R200                  27313     0.727741
R200                  27314     -1.14433
R200                  27315      7.90342
R200                  27316      6.22684
R200                  27317       6.5858
R200                  27318      2.75972
R200                  27319      1.40716
R200                  27320     0.649078
R200                  27321     0.424363
R200                  27322      -1.2525
R200                  27323     0.104376
R200                  27324     0.396186
R200                  27325     0.645735
R200                  27326      1.03563
R200                  27327      2.16846
R200                  27328      1.75471
R200                  27329      1.51191
R200                  27330      1.17047
R200                  27331       7.1484
R200                  27332      5.44611
R200                  27333      3.30827
R200                  27334    -0.852128
R200                  27335     0.725312
R200                  27336     0.276126
R200                  27337     0.169473
R200                  27338    -0.672075
R200                  27339     -0.71648
R200                  27340    -0.483107
R200                  27341     -0.30807
R200                  27342     0.033608
R200                  27343      1.31413
R200                  27344      1.06061
R200                  27345     0.922718
R200                  27346     0.813737
R200                  27347    -0.495421
R200                  27348    -0.240033
R200                  27349    -0.211937
R200                  27350      0.44574
R200                  27351      6.14841
R200                  27352      4.28075
R200                  27353      1.76594
R200                  27354     -2.85756
R200                  27355     -1.71122
R200                  27356      -1.7108
R200                  27357     -1.52847
R200                  27358    -0.985849
R200                  27359     0.708241
R200                  27360     0.538333
R200                  27361     0.390446
R200                  27362     0.737385
R200                  27363     -1.62002
R200                  27364     -1.05485
R200                  27365     -1.06264
R200                  27366      0.88684
R200                  27367      5.15033
R200                  27368      3.30319
R200                  27369      1.27704
R200                  27370     -3.01042
R200                  27371      4.77928
R200                  27372      5.21014
R200                  27373      5.27037
R200                  27374      5.58097
R200                  27375      5.41186
R200                  27376      5.63016
R200                  27377       5.7344
R200                  27378      5.81025
R200                  27379      5.97133
R200                  27380      6.18931
R200                  27381      6.46677
R200                  27382      6.40335
R200                  27383      6.40931
R200                  27384      6.52392
R200                  27385       6.5459
R200                  27386     -7.68597
R200                  27387     -7.90423
R200                  27388     -8.18102
R200                  27389     -8.83834
R200                  27390     -7.85823
R200                  27391     -8.10481
R200                  27392     -8.41377
R200                  27393     -9.19954
R200                  27394     -8.08341
R200                  27395     -8.28262
R200                  27396     -8.38306
R200                  27397     -8.88414
R200                  27398     -8.53492
R200                  27399     -8.64119
R200                  27400     -8.46183
R200                  27401     -7.89552
R200                  27402     -9.03261
R200                  27403      -9.0261
R200                  27404     -9.16647
R200                  27405      -8.3143
R200                  27406     -8.54621
R200                  27407     -9.35906
R200                  27408     -10.0578
R200                  27409     -10.9202
R200                  27410     -7.74873
R200                  27411     -8.48832
R200                  27412     -9.14406
R200                  27413     -9.96876
R200                  27414     -6.62605
R200                  27415     -6.63946
R200                  27416     -6.33613
R200                  27417     -6.72298
R200                  27418     -5.57312
R200                  27419     -4.76985
R200                  27420     -3.40055
R200                  27421     -2.22465
R200                  27422     -5.14378
R200                  27423     -3.75208
R200                  27424     -2.66731
R200                  27425    -0.493025
R200                  28478      -35.386
R200                  28479      -32.467
R200                  28480     -31.8213
R200                  28481     -35.4041
R200                  28482     -31.5306
R200                  28483     -30.7157
R200                  28484     -30.5602
R200                  28485     -27.9223
R200                  28486      -28.028
R200                  28487     -18.3529
R200                  28488     -22.1729
R200                  28489     -23.9049
R200                  28490     -6.72571
R200                  28491     -12.3649
R200                  28492      -14.998
R200                  28493     -6.02592
R200                  28494     -6.32636
R200                  28495      -9.9716
R200                  28496     -2.65184
R200                  28497      2.27509
R200                  28498      13.5728
R200                  28499     -7.19691
R200                  28500      -7.6824
R200                  28501     -8.74292
R200                  28502       -12.29
R200                  28503     -2.75793
R200                  28504      6.14025
R200                  28505      -8.1465
R200                  28506      -7.7037
R200                  28507     -6.89288
R200                  28508     -1.86289
R200                  28509        2.257
R200                  28510     0.831379
R200                  28511     -8.20045
R200                  28512     -6.37226
R200                  28513     -5.57267
R200                  28514      12.0312
R200                  28515      6.58939
R200                  28516      -1.1401
R200                  28517     -13.3464
R200                  28518     -17.8642
R200                  28519     -21.3194
R200                  28520     -16.1954
R200                  28521     -15.5847
R200                  28522     -24.1389
R200                  28523     -25.1234
R200                  28524     -25.5888
R200                  28525     -26.4206
R200                  28526     -23.0478
R200                  28743     -2.23208
R200                  28744     -7.58316
R200                  28745     -18.9084
R200                  28746     -13.5072
R200                  28747     -16.7399
R200                  28748     -25.3931
R200                  28749     -26.2869
R200                  28750     -26.3269
R200                  28751     -31.3719
R200                  28752      -38.027
R200                  28888    -0.471831
R200                  28889   -0.0406013
R200                  28890     0.266032
R200                  28891    -0.408432
R200                  28892    -0.147692
R200                  28893    -0.125402
R200                  28894    0.0900752
R200                  28895      1.78767
R200                  28896     -1.57201
R200                  28897   -0.0961782
R200                  28898     0.154803
R200                  28899     0.458568
R200                  28900     0.201338
R200                  28901     0.180656
R200                  28902     0.247555
R200                  28903    -0.436055
R200                  28904    -0.143556
R200                  28905    -0.336417
R200                  28906    -0.485918
R200                  28907    0.0736889
R200                  28908    -0.142246
R200                  28909    -0.381337
R200                  28910     0.148147
R200                  28911   -0.0974714
