Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
R200                  24885     -3.65515
R200                  24886     -3.30575
R200                  24887     -2.79374
R200                  24888     -3.02907
R200                  24889      -3.4887
R200                  24890       -3.533
R200                  24891      9.85089
R200                  24892      7.20941
R200                  24893      4.42087
R200                  24894     -3.89435
R200                  24895     -3.35938
R200                  24896     -2.60079
R200                  24897     -3.57431
R200                  24898     -3.66564
R200                  24899     -3.61839
R200                  24900     0.584857
R200                  24901      0.35959
R200                  24902    0.0426819
R200                  24903      10.5022
R200                  24904      8.84863
R200                  24905       7.5803
R200                  24906     -4.13776
R200                  24907      -3.4788
R200                  24908     -2.31105
R200                  24909      -4.0907
R200                  24910     -3.23611
R200                  24911     -3.62265
R200                  24912     0.593363
R200                  24913     0.513445
R200                  24914    -0.273326
R200                  24915      11.1397
R200                  24916      9.93103
R200                  24917      12.3209
R200                  24918     -3.72708
R200                  24919     -2.76312
R200                  24920      -4.0683
R200                  24921      0.70263
R200                  24922     0.828157
R200                  24923    -0.416298
R200                  24924      10.2631
R200                  24925      10.1377
R200                  24926       17.009
R200                  24927     -4.44773
R200                  24928     -3.67123
R200                  24929      -2.1912
R200                  24930     -1.53269
R200                  24931     -3.11718
R200                  24932     -3.71071
R200                  24933     -3.60353
R200                  24934     -3.91874
R200                  24935     -3.82266
R200                  24936     -3.48049
R200                  24937     -2.94743
R200                  24938     -2.46052
R200                  24939     -1.31261
R200                  24940     -3.82258
R200                  24941     -2.73711
R200                  24942     -4.05638
R200                  24943     0.741984
R200                  24944     0.892906
R200                  24945     -0.52081
R200                  24946      10.4181
R200                  24947      10.3135
R200                  24948      17.2608
R200                  24949     -4.82217
R200                  24950     -3.91547
R200                  24951      -2.5529
R200                  24952     -4.19496
R200                  24953     -3.15111
R200                  24954     -3.39933
R200                  24955     0.765015
R200                  24956     0.883132
R200                  24957     0.589437
R200                  24958      10.9259
R200                  24959      10.6164
R200                  24960      13.7611
R200                  24961     0.787505
R200                  24962     0.942807
R200                  24963      1.83014
R200                  24964     -5.25935
R200                  24965        -4.02
R200                  24966     -3.07311
R200                  24967     -3.76149
R200                  24968     -3.48824
R200                  24969     -3.00227
R200                  24970      10.1245
R200                  24971      10.2689
R200                  24972      10.8216
R200                  24973     0.883256
R200                  24974      1.03635
R200                  24975       2.5414
R200                  24976      -5.6375
R200                  24977     -3.65545
R200                  24978     -3.23498
R200                  24979     -3.36696
R200                  24980     -3.19107
R200                  24981     -2.44949
R200                  24982      0.94436
R200                  24983        1.109
R200                  24984      2.95158
R200                  24985      9.61098
R200                  24986       9.1437
R200                  24987      9.12161
R200                  24988     -5.20374
R200                  24989     -3.12536
R200                  24990     -3.03538
R200                  24991     -3.08813
R200                  24992     -2.80994
R200                  24993     -2.30625
R200                  24994       1.0169
R200                  24995      1.08523
R200                  24996      1.73472
R200                  24997      8.68224
R200                  24998      8.21365
R200                  24999       7.6325
R200                  25000    -0.730583
R200                  25001    -0.210989
R200                  25002     -3.31142
R200                  25003    -0.746199
R200                  25004     -1.19757
R200                  25005     -1.08181
R200                  25006     -1.96722
R200                  25007     -4.08248
